Group,Generation,cat,gvNormUnres1,gvNormUnres3,scenario,rep,strategy
import,21,pb,3.5656386408900005,5.2832066407600005,10_10,0,ClassGen
import,22,pb,4.71556820683,5.976943631379999,10_10,0,ClassGen
import,23,pb,4.29698960392,5.57957880167,10_10,0,ClassGen
import,24,pb,4.638600901239999,6.064628977479999,10_10,0,ClassGen
import,25,gpb,4.246150798562501,5.6040139269375,10_10,0,ClassGen
import,26,gpb,4.165312940842857,5.492878506728572,10_10,0,ClassGen
import,27,gpb,3.731765316935714,5.18809200232143,10_10,0,ClassGen
import,28,gpb,3.9365202142533335,5.597945360693333,10_10,0,ClassGen
import,29,gpb,4.34692468872,5.420815638060001,10_10,0,ClassGen
import,30,gpb,4.3481893861400005,5.5953205537266655,10_10,0,ClassGen
import,31,gpb,5.737910106179999,7.454730065093334,10_10,0,ClassGen
import,32,gpb,5.65041538438,7.265381624133334,10_10,0,ClassGen
import,33,gpb,6.639686831080001,8.548860440493334,10_10,0,ClassGen
import,34,gpb,6.291454564226666,8.395299102960001,10_10,0,ClassGen
import,35,gpb,7.13556521598,8.90926981201333,10_10,0,ClassGen
import,36,gpb,7.385997252053333,9.721346968720002,10_10,0,ClassGen
import,37,gpb,7.476763000406666,9.820044493913334,10_10,0,ClassGen
import,38,gpb,7.4473747508266674,9.645807077346667,10_10,0,ClassGen
import,39,gpb,7.90342220814,10.295594427673333,10_10,0,ClassGen
import,40,gpb,7.787926725466667,10.58621679936,10_10,0,ClassGen
import,41,gpb,8.645167622226667,10.88308855684,10_10,0,ClassGen
import,42,gpb,8.755151446433334,11.790088941933334,10_10,0,ClassGen
import,43,gpb,8.917062956813334,11.656833676093331,10_10,0,ClassGen
import,44,gpb,9.332523133466667,12.471679617626668,10_10,0,ClassGen
import,45,gpb,9.732269586213334,12.882012443913332,10_10,0,ClassGen
import,46,gpb,10.076440865493334,12.879119760520002,10_10,0,ClassGen
import,47,gpb,9.748096523680001,13.599051093959996,10_10,0,ClassGen
import,48,gpb,10.467144200999998,13.626790852773333,10_10,0,ClassGen
home,11,pb,2.3767416048250003,1.4823006282250002,50_50,0,ClassGen
home,12,pb,2.1623543635,0.4671156687,50_50,0,ClassGen
home,13,pb,1.2340185337249998,1.00839646445,50_50,0,ClassGen
home,14,pb,2.1491856514250003,0.80271797565,50_50,0,ClassGen
home,15,pb,1.9842720959,1.409518251075,50_50,0,ClassGen
home,16,pb,2.723797254425,1.9099328021249997,50_50,0,ClassGen
home,17,pb,1.3222686153,1.461735964225,50_50,0,ClassGen
home,18,pb,3.140790027575,2.1426651662000005,50_50,0,ClassGen
home,19,pb,2.9615653398,1.3206908207999999,50_50,0,ClassGen
home,20,pb,2.8480498246000003,1.7809477155,50_50,0,ClassGen
home,21,pb,2.8253632564749998,2.06757322745,50_50,0,ClassGen
home,22,pb,3.4110973173500003,1.5322521826000002,50_50,0,ClassGen
home,23,pb,2.519762151325,2.251195692025,50_50,0,ClassGen
home,24,pb,3.35246977305,2.3086699375,50_50,0,ClassGen
home,25,pb,3.218574377025,2.7960001358500004,50_50,0,ClassGen
home,26,pb,4.5307572001,3.98535702425,50_50,0,ClassGen
home,27,pb,4.339072396975,2.7503109138,50_50,0,ClassGen
home,28,pb,4.362703022224999,3.102227184525,50_50,0,ClassGen
home,29,pb,3.4430394352750002,2.929846861775,50_50,0,ClassGen
home,30,pb,3.4092727521249997,2.099073860175,50_50,0,ClassGen
home,31,pb,3.1768399354,1.6971189343750002,50_50,0,ClassGen
home,32,pb,5.374515942850001,3.9483063190000003,50_50,0,ClassGen
home,33,pb,4.6048150713750005,3.5371355457250004,50_50,0,ClassGen
home,34,pb,4.955276870575,4.156788738775,50_50,0,ClassGen
home,35,gpb,5.2282574654,4.69906569396,50_50,0,ClassGen
