strategy,scenario,Group,Generation,cat,gvNormUnres1,gvNormUnres3
GenGen,100_100,import,48,gpb,11.269254912700001,13.767640768008334
GenGen,10_10,home,25,gpb,4.529125062325,3.5898362593875
GenGen,10_10,home,26,gpb,4.117576477370833,3.401834729866667
GenGen,10_10,home,27,gpb,3.7871700783937503,2.7154354925125004
GenGen,10_10,home,28,gpb,3.3075795308916662,2.5755589341416667
GenGen,10_10,home,29,gpb,3.5237119375333332,2.621740747533333
GenGen,10_10,home,30,gpb,3.988456396558333,2.8653083041666663
GenGen,10_10,home,31,gpb,5.451741829616667,4.3767775869416665
GenGen,10_10,home,32,gpb,5.587111429233333,4.330120832458333
GenGen,10_10,home,33,gpb,5.922807171408333,5.119012984666666
GenGen,10_10,home,34,gpb,5.995499790291667,4.337114203616666
GenGen,10_10,home,35,gpb,6.576122240358334,5.3531371249749995
GenGen,10_10,home,36,gpb,7.316050866875001,5.274848575833334
GenGen,10_10,home,37,gpb,8.134901631516668,6.385264492433334
GenGen,10_10,home,38,gpb,7.946035335933333,6.8591290011499995
GenGen,10_10,home,39,gpb,8.434113754733332,6.727642583108333
GenGen,10_10,home,40,gpb,8.3864834163,6.945195995516666
GenGen,10_10,home,41,gpb,8.91655270735,7.053541828458334
GenGen,10_10,home,42,gpb,8.867732583558332,7.064863373700001
GenGen,10_10,home,43,gpb,9.69986132255,7.66385581075
GenGen,10_10,home,44,gpb,10.040103010458331,8.627822822883335
GenGen,10_10,home,45,gpb,9.664365167433331,7.776351076158333
GenGen,10_10,home,46,gpb,11.128172188783333,8.732298871641667
GenGen,10_10,home,47,gpb,11.087047572458333,8.817706956291666
GenGen,10_10,home,48,gpb,11.104959656958332,9.290592542716666
GenGen,10_10,import,25,gpb,4.702866348116667,6.184628239216667
GenGen,10_10,import,26,gpb,4.350348965608334,5.306224392533334
GenGen,10_10,import,27,gpb,4.371599171533334,5.657281282766666
GenGen,10_10,import,28,gpb,4.859422755300001,5.993187605316667
GenGen,10_10,import,29,gpb,5.072708085466667,6.054498651916667
GenGen,10_10,import,30,gpb,4.87119335685,5.779051578308334
GenGen,10_10,import,31,gpb,6.168553287408333,7.636514540591666
GenGen,10_10,import,32,gpb,6.9858091638,7.796181569091667
GenGen,10_10,import,33,gpb,6.96685762905,8.178614590333334
GenGen,10_10,import,34,gpb,6.885262756458333,8.295014137158333
GenGen,10_10,import,35,gpb,7.922404737475,9.408666074091666
GenGen,10_10,import,36,gpb,7.632975242274999,8.893271478566668
GenGen,10_10,import,37,gpb,7.840239116116667,9.458269319608334
GenGen,10_10,import,38,gpb,7.982880816033333,10.226483806250002
GenGen,10_10,import,39,gpb,8.554945522158334,10.141660241183331
GenGen,10_10,import,40,gpb,8.632591531283335,10.531966710108335
GenGen,10_10,import,41,gpb,9.087189064066667,10.830874056491666
GenGen,10_10,import,42,gpb,9.445437664233333,11.669527425583333
GenGen,10_10,import,43,gpb,9.990038662333333,11.936888066275
GenGen,10_10,import,44,gpb,9.390943710741666,11.839042305124998
GenGen,10_10,import,45,gpb,9.694988084591667,12.130904875408335
GenGen,10_10,import,46,gpb,9.949224694125,12.646168451633333
GenGen,10_10,import,47,gpb,10.905621825733334,13.340782901266667
GenGen,10_10,import,48,gpb,11.063043495366667,13.703436771258334
GenGen,50_50,home,25,gpb,4.529125062325,3.5898362593875
GenGen,50_50,home,26,gpb,4.117576477370833,3.401834729866667
GenGen,50_50,home,27,gpb,3.7871700783937503,2.7154354925125004
