AgeCat Cor Gen Rep Ref varE
pBM5 0.408651025769 32 0 1K 0.5
pBM6 0.41760030913 32 0 1K 0.5
potomciNP0 0.46694744238 32 0 1K 0.5
telF1 0.506983011595 32 0 1K 0.5
k3 0.721501249199 33 0 1K 0.5
k5 0.721000754877 33 0 1K 0.5
pBM4 0.467584809311 33 0 1K 0.5
pBM5 0.441355621837 33 0 1K 0.5
pBM6 0.448185491726 33 0 1K 0.5
potomciNP0 0.523544082634 33 0 1K 0.5
telF1 0.496480420567 33 0 1K 0.5
k3 0.71385555689 34 0 1K 0.5
k5 0.711453628474 34 0 1K 0.5
pBM4 0.432290751446 34 0 1K 0.5
pBM5 0.509163534339 34 0 1K 0.5
pBM6 0.470691991412 34 0 1K 0.5
potomciNP0 0.212820639079 34 0 1K 0.5
telF1 0.444091867017 34 0 1K 0.5
k3 0.718833747898 35 0 1K 0.5
k5 0.725441805645 35 0 1K 0.5
pBM4 0.310346676233 35 0 1K 0.5
pBM5 0.45446545604 35 0 1K 0.5
pBM6 0.515653654404 35 0 1K 0.5
potomciNP0 0.479754854881 35 0 1K 0.5
telF1 0.452623316492 35 0 1K 0.5
k3 0.709419155551 36 0 1K 0.5
k5 0.736912008096 36 0 1K 0.5
pBM4 0.502905761761 36 0 1K 0.5
pBM5 0.294119550128 36 0 1K 0.5
pBM6 0.446348046953 36 0 1K 0.5
potomciNP0 0.285811988808 36 0 1K 0.5
telF1 0.486974655961 36 0 1K 0.5
k3 0.678921683744 37 0 1K 0.5
k5 0.727069832212 37 0 1K 0.5
pBM4 0.212467162389 37 0 1K 0.5
pBM5 0.470758931373 37 0 1K 0.5
pBM6 0.222077676523 37 0 1K 0.5
potomciNP0 0.377826308609 37 0 1K 0.5
telF1 0.452987222034 37 0 1K 0.5
k3 0.701978076916 38 0 1K 0.5
k5 0.722651379888 38 0 1K 0.5
pBM4 0.0415752798947 38 0 1K 0.5
pBM5 0.172213274139 38 0 1K 0.5
pBM6 0.46598070611 38 0 1K 0.5
potomciNP0 0.453436258575 38 0 1K 0.5
telF1 0.500571707496 38 0 1K 0.5
k3 0.689226295845 39 0 1K 0.5
k5 0.699090653399 39 0 1K 0.5
pBM4 0.486948696374 39 0 1K 0.5
pBM5 0.0953149783603 39 0 1K 0.5
pBM6 0.158450173317 39 0 1K 0.5
potomciNP0 0.318456511227 39 0 1K 0.5
telF1 0.453410784529 39 0 1K 0.5
k3 0.699398925732 40 0 1K 0.5
k5 0.720626969122 40 0 1K 0.5
pBM4 0.410744095397 40 0 1K 0.5
pBM5 0.467820684599 40 0 1K 0.5
pBM6 0.110145029391 40 0 1K 0.5
potomciNP0 0.33909365574 40 0 1K 0.5
telF1 0.458615361072 40 0 1K 0.5
k3 0.656681360509 40 0 1K 0.5
k5 0.630727788909 40 0 1K 0.5
pBM4 0.716603135255 40 0 1K 0.5
pBM5 0.764495767251 40 0 1K 0.5
k3 0.788761373901 21 0 1K 0.5
k5 0.701074234749 21 0 1K 0.5
pBM4 0.803900984071 21 0 1K 0.5
pBM5 0.557976166781 21 0 1K 0.5
pBM6 0.75582098496 21 0 1K 0.5
potomciNP0 0.303640564982 21 0 1K 0.5
telF1 0.274982499756 21 0 1K 0.5
k3 0.748651435664 22 0 1K 0.5
k5 0.754185417309 22 0 1K 0.5
pBM4 0.486272176119 22 0 1K 0.5
pBM5 0.791761619051 22 0 1K 0.5
pBM6 0.674182831776 22 0 1K 0.5
potomciNP0 0.18239605565 22 0 1K 0.5
telF1 0.262379100257 22 0 1K 0.5
