AgeCat Cor Gen Rep NoControl gp
pBM6 0.802764253972552 46 0 1 1_1
potomciNP0 0.772930075808195 46 0 1 1_1
telF1 0.642704162767332 46 0 1 1_1
bm7 0.784194372161549 47 0 1 1_1
genTest1 0.904112831435593 47 0 1 1_1
gpb2 0.562659935252368 47 0 1 1_1
gpb3 0.800927585013483 47 0 1 1_1
gpb4 0.124976445571745 47 0 1 1_1
gpb5 0.579398182525071 47 0 1 1_1
gpb6 0.946088554444378 47 0 1 1_1
k3 0.93968986630211 47 0 1 1_1
k4 0.93403944675771 47 0 1 1_1
k5 0.93090189439025 47 0 1 1_1
k6 0.931894195605919 47 0 1 1_1
pBM4 0.644176755606051 47 0 1 1_1
pBM5 0.526592913774286 47 0 1 1_1
pBM6 0.57118421240533 47 0 1 1_1
potomciNP0 0.735289387176241 47 0 1 1_1
telF1 0.571535529235134 47 0 1 1_1
bm7 0.612903456934779 48 0 1 1_1
genTest1 0.893148329199299 48 0 1 1_1
gpb2 0.511255977318013 48 0 1 1_1
gpb3 0.740908367588016 48 0 1 1_1
gpb4 0.297875352374893 48 0 1 1_1
gpb5 0.861288236405377 48 0 1 1_1
gpb6 0.826799942751441 48 0 1 1_1
k3 0.934477319673902 48 0 1 1_1
k4 0.936176605738806 48 0 1 1_1
k5 0.932077112129543 48 0 1 1_1
k6 0.931715333684685 48 0 1 1_1
pBM4 0.55697954756474 48 0 1 1_1
pBM5 0.646179286257262 48 0 1 1_1
pBM6 0.494394543688253 48 0 1 1_1
potomciNP0 0.745629415507291 48 0 1 1_1
telF1 0.567392150750486 48 0 1 1_1
bm7 0.522642215165776 49 0 1 1_1
genTest1 0.885936656804703 49 0 1 1_1
gpb2 0.593857780391239 49 0 1 1_1
gpb3 0.709589826834575 49 0 1 1_1
gpb4 0.957060905805107 49 0 1 1_1
gpb5 0.819036764032171 49 0 1 1_1
gpb6 0.858083674586369 49 0 1 1_1
k3 0.926688980148642 49 0 1 1_1
k4 0.93115057016137 49 0 1 1_1
k5 0.93755117244425 49 0 1 1_1
k6 0.928434285477988 49 0 1 1_1
pBM4 0.515524988163661 49 0 1 1_1
pBM5 0.544162823084115 49 0 1 1_1
pBM6 0.608324103181117 49 0 1 1_1
potomciNP0 0.567601975622847 49 0 1 1_1
telF1 0.594334037453506 49 0 1 1_1
bm7 0.600194551593309 50 0 1 1_1
genTest1 0.879840482501486 50 0 1 1_1
gpb2 -0.299504103235801 50 0 1 1_1
gpb3 0.675017384366492 50 0 1 1_1
gpb4 0.694913499091866 50 0 1 1_1
gpb5 0.976537243632616 50 0 1 1_1
gpb6 0.958434790213628 50 0 1 1_1
k3 0.926619253333763 50 0 1 1_1
k4 0.924377013553875 50 0 1 1_1
k5 0.933953678905332 50 0 1 1_1
k6 0.937353161335948 50 0 1 1_1
pBM4 0.591956580555585 50 0 1 1_1
pBM5 0.610798592742505 50 0 1 1_1
pBM6 0.631407001697691 50 0 1 1_1
potomciNP0 0.676498793817572 50 0 1 1_1
telF1 0.567648047987714 50 0 1 1_1
bm7 0.591334149102913 51 0 1 1_1
genTest1 0.859092432278498 51 0 1 1_1
gpb2 -0.422903905149936 51 0 1 1_1
gpb3 -0.369210402367992 51 0 1 1_1
gpb4 0.329742095460972 51 0 1 1_1
gpb5 0.819438486785797 51 0 1 1_1
gpb6 0.779105613336707 51 0 1 1_1
k3 0.928181882363273 51 0 1 1_1
k4 0.922186396117285 51 0 1 1_1
k5 0.9291791178479 51 0 1 1_1
k6 0.938860464287058 51 0 1 1_1
pBM4 0.757466057349428 51 0 1 1_1
pBM5 0.511894531425822 51 0 1 1_1
pBM6 0.661161687986199 51 0 1 1_1
potomciNP0 0.658632343597419 51 0 1 1_1
telF1 0.54750159406043 51 0 1 1_1
bm7 0.717033238726622 52 0 1 1_1
genTest1 0.867255181134279 52 0 1 1_1
gpb2 0.181801205063538 52 0 1 1_1
gpb3 -0.70060661058829 52 0 1 1_1
gpb4 -0.897933886063191 52 0 1 1_1
gpb5 0.85323713965342 52 0 1 1_1
gpb6 0.941898752010361 52 0 1 1_1
k3 0.927086675105423 52 0 1 1_1
k4 0.924831390711777 52 0 1 1_1
k5 0.926275680367658 52 0 1 1_1
k6 0.93156413813594 52 0 1 1_1
pBM4 0.601123060784688 52 0 1 1_1
pBM5 0.836660152183957 52 0 1 1_1
pBM6 0.448336302981314 52 0 1 1_1
potomciNP0 0.720085102324235 52 0 1 1_1
telF1 0.549954824427977 52 0 1 1_1
bm7 0.506217863047735 53 0 1 1_1
genTest1 0.876721821568602 53 0 1 1_1
gpb2 0.412842636516999 53 0 1 1_1
gpb3 0.471136682338977 53 0 1 1_1
gpb4 -0.430821884296229 53 0 1 1_1
gpb5 0.702722212600167 53 0 1 1_1
gpb6 0.946366530162513 53 0 1 1_1
k3 0.92987569000851 53 0 1 1_1
k4 0.925791198421421 53 0 1 1_1
k5 0.927314564112737 53 0 1 1_1
k6 0.926666568459071 53 0 1 1_1
pBM4 0.55068776039596 53 0 1 1_1
pBM5 0.67451493641005 53 0 1 1_1
pBM6 0.8014939310795 53 0 1 1_1
potomciNP0 0.702149178047055 53 0 1 1_1
telF1 0.542272140569704 53 0 1 1_1
bm7 0.71659369058172 54 0 1 1_1
genTest1 0.862600034627418 54 0 1 1_1
gpb2 0.400777379619807 54 0 1 1_1
gpb3 0.169978514288628 54 0 1 1_1
gpb4 0.707867737548322 54 0 1 1_1
gpb5 0.785292963796651 54 0 1 1_1
gpb6 0.602425520304755 54 0 1 1_1
k3 0.921848876954572 54 0 1 1_1
k4 0.924663385589325 54 0 1 1_1
k5 0.925596351875045 54 0 1 1_1
k6 0.924330821859723 54 0 1 1_1
pBM4 0.586519197495832 54 0 1 1_1
pBM5 0.635742735204593 54 0 1 1_1
pBM6 0.710179340460438 54 0 1 1_1
potomciNP0 0.74976508335315 54 0 1 1_1
telF1 0.526580723703541 54 0 1 1_1
bm7 0.68190449915664 55 0 1 1_1
genTest1 0.884409317831518 55 0 1 1_1
gpb2 0.731014462913041 55 0 1 1_1
gpb3 0.398222161883501 55 0 1 1_1
gpb4 0.764586716783442 55 0 1 1_1
gpb5 0.850895566333578 55 0 1 1_1
gpb6 0.93483960846404 55 0 1 1_1
k3 0.920705218384726 55 0 1 1_1
k4 0.915325178472928 55 0 1 1_1
k5 0.922836303415248 55 0 1 1_1
k6 0.919961002118107 55 0 1 1_1
pBM4 0.478629054406431 55 0 1 1_1
