AgeCat Cor Gen Rep Ref sc
k5 0.637077808979 58 0 10K 2
potomciNP0 0.424315114662 58 0 10K 2
telF1 0.398699925933 58 0 10K 2
vhlevljeni1 0.117607692671 58 0 10K 2
cak5 0.917836280443 59 0 10K 2
k3 0.554422163053 59 0 10K 2
k5 0.615221910687 59 0 10K 2
potomciNP0 0.385010129049 59 0 10K 2
telF1 0.422291502761 59 0 10K 2
vhlevljeni1 0.397151495661 59 0 10K 2
cak5 0.991079701219 60 0 10K 2
k3 0.568419460911 60 0 10K 2
k5 0.628272884756 60 0 10K 2
potomciNP0 0.360668323888 60 0 10K 2
telF1 0.421100345172 60 0 10K 2
vhlevljeni1 0.170871663719 60 0 10K 2
cak5 0.00435976373031 21 0 10K 5
k3 0.793199603744 21 0 10K 5
k5 0.693529913753 21 0 10K 5
potomciNP0 0.268178292175 21 0 10K 5
telF1 0.304836435397 21 0 10K 5
vhlevljeni1 -0.088843438454 21 0 10K 5
cak5 0.395617051129 22 0 10K 5
k3 0.744357716807 22 0 10K 5
k5 0.732495421153 22 0 10K 5
potomciNP0 0.397773960636 22 0 10K 5
telF1 0.269591750954 22 0 10K 5
vhlevljeni1 0.169978236577 22 0 10K 5
cak5 0.799123169308 23 0 10K 5
k3 0.740045952181 23 0 10K 5
k5 0.810216203971 23 0 10K 5
potomciNP0 0.20142472262 23 0 10K 5
telF1 0.326091794788 23 0 10K 5
vhlevljeni1 0.512740648825 23 0 10K 5
cak5 0.97898686122 24 0 10K 5
k3 0.767314102659 24 0 10K 5
k5 0.76815065613 24 0 10K 5
potomciNP0 0.354746171629 24 0 10K 5
telF1 0.518681986781 24 0 10K 5
vhlevljeni1 0.580545895059 24 0 10K 5
cak5 0.861435116673 25 0 10K 5
k3 0.748086964343 25 0 10K 5
k5 0.749866075188 25 0 10K 5
potomciNP0 0.549587009271 25 0 10K 5
telF1 0.543131422888 25 0 10K 5
vhlevljeni1 0.490928984984 25 0 10K 5
cak5 0.993575528933 26 0 10K 5
k3 0.745639403751 26 0 10K 5
k5 0.769948479373 26 0 10K 5
potomciNP0 0.400003163731 26 0 10K 5
telF1 0.565951942826 26 0 10K 5
vhlevljeni1 0.622253773297 26 0 10K 5
cak5 0.979611940318 27 0 10K 5
k3 0.757456367979 27 0 10K 5
k5 0.759991546802 27 0 10K 5
potomciNP0 0.40916818243 27 0 10K 5
telF1 0.473317530947 27 0 10K 5
vhlevljeni1 0.427794119656 27 0 10K 5
cak5 0.984017331915 28 0 10K 5
k3 0.760132859866 28 0 10K 5
k5 0.750674511763 28 0 10K 5
potomciNP0 0.359166603375 28 0 10K 5
telF1 0.530537900176 28 0 10K 5
vhlevljeni1 0.395722113961 28 0 10K 5
cak5 0.974633655137 29 0 10K 5
k3 0.737084122172 29 0 10K 5
