Generation,gvNormUnres1,sd,var,SDSt,zMean,AdditGenicVar1,SDGenic,SDGenicSt,zMeanGenic,SDGenicStNeg,Genic_Genetic_VAR,Genic_Genetic_SD,Genic_Genetic_SDSt,zMeanGenic_Genetic,scenario,Rep,Strategy,Repeats
53,8.15472503126323,1.31904158498287,1.73987070291413,0.959360307449655,1.90561528321787,2.1634978857,1.4708833691697,0.98166807823924,1.74863191324154,0.0183319217607599,1.82172501128849,1.34971293662337,0.98166807823924,1.90561528321787,Class,0,SU55,11
54,8.20681774090183,1.34431246430451,1.80717600168446,0.97774022725775,1.94350315461157,2.1546658273,1.46787800150421,0.979662294801601,1.78339860598759,0.0203377051983986,1.81428817402843,1.34695514922674,0.979662294801601,1.94350315461157,Class,0,SU55,11
55,8.53770517151891,1.38055034854727,1.90591926487398,1.00409662736238,2.18416294182529,2.1407806452,1.46314067854052,0.9765006037884,2.00423299363231,0.0234993962115998,1.80259646696227,1.34260808390322,0.9765006037884,2.18416294182529,Class,0,SU55,11
56,8.67018250643486,1.32186641390898,1.74733081622059,0.96141485127746,2.28051585306177,2.135718848,1.46140988363977,0.975345470662514,2.09264841357863,0.0246545293374862,1.79833429382946,1.34101987078099,0.975345470662514,2.28051585306177,Class,0,SU55,11
57,8.83706409190943,1.33631152678149,1.78572849660909,0.971921015817147,2.40189153292758,2.1365001856,1.46167718241751,0.975523865960853,2.20402524245584,0.0244761340391471,1.79899220168211,1.34126514965614,0.975523865960853,2.40189153292758,Class,0,SU55,11
58,9.10588018894441,1.34457187698438,1.80787353237729,0.977928902301167,2.59740583394352,2.1338283242,1.46076292539207,0.974913690500314,2.38343320022278,0.0250863094996865,1.79674242054239,1.34042620854055,0.974913690500314,2.59740583394352,Class,0,SU55,11
59,9.32380176961691,1.31050106672505,1.7174130458875,0.953148650201785,2.75590372894097,2.1219297293,1.4566844988878,0.972191747216022,2.52887413985785,0.0278082527839781,1.78672347480096,1.33668376020694,0.972191747216022,2.75590372894097,Class,0,SU55,11
60,9.68512326147928,1.29307279344428,1.6720372491458,0.940472784783052,3.01869870179678,2.1047813309,1.4507864525491,0.968255389013844,2.77002023068848,0.031744610986156,1.77228404942629,1.33127159115873,0.968255389013844,3.01869870179678,Class,0,SU55,11
40,5.56175956439435,1.34107199821249,1.79847410438964,1,0,2.2375126815,1.4958317691171,1,0,0,1.79847410438964,1.34107199821249,1,0,1_1,0,SU55,1
41,5.73029625353358,1.41011791084556,1.98843252248744,1.05148561205147,0.125673110290772,2.2290805901,1.4930105793664,0.99811396588243,0.112670884934274,0.00188603411757005,1.7916965347454,1.33854269066974,0.99811396588243,0.125673110290772,1_1,0,SU55,1
42,5.91431272270124,1.42309296200354,2.025193578504,1.06116074595575,0.262889060972716,2.2240167062,1.49131375176386,0.996979595268318,0.235690380152159,0.00302040473168241,1.78762627220026,1.33702141800356,0.996979595268317,0.262889060972716,1_1,0,SU55,1
43,6.44510729891013,1.54294706046928,2.3806856314108,1.1505326056512,0.658687777906917,2.2183868911,1.48942502030146,0.995716932246047,0.590539492978653,0.00428306775395293,1.78310112391683,1.33532809598122,0.995716932246047,0.658687777906917,1_1,0,SU55,1
44,6.57700478856152,1.52631880292587,2.32964908816508,1.13813337759665,0.757040058639939,2.2052391744,1.48500477251758,0.992761888854714,0.678716179939407,0.00723811114528572,1.77253321598392,1.3313651700356,0.992761888854714,0.757040058639939,1_1,0,SU55,1
45,6.65671027174847,1.60378218090929,2.57211728380216,1.19589565888108,0.816474215264784,2.1943104555,1.48132051072683,0.990298870040154,0.732001238348081,0.00970112995984584,1.76374890021297,1.32806208447232,0.990298870040154,0.816474215264784,1_1,0,SU55,1
40,5.56175956439435,1.34107199821249,1.79847410438964,1,0,2.2375126815,1.4958317691171,1,0,0,1.79847410438964,1.34107199821249,1,0,1_2,0,SU55,1
40,5.56175956439435,1.34107199821249,1.79847410438964,1,0,2.2375126815,1.4958317691171,1,0,0,1.79847410438964,1.34107199821249,1,0,2_1,0,SU55,1
