Generation N Sum GN.F GN.M PN1.F Program Trait value Population h2 rep
0 525 0.282145677590686 0.252323741543599 0.029821936047087 0 PN1 T2 Tbv GN1 0.25 0
1 6000 0.44168342032728 0.126021283612601 0.315662136714679 0 PN1 T2 Tbv GN1 0.25 0
2 6000 1.12958181733464 0.523993028485141 0.605588788849497 0 PN1 T2 Tbv GN1 0.25 0
3 6000 1.57689431774849 0.749571583902004 0.827322733846487 0 PN1 T2 Tbv GN1 0.25 0
4 6000 2.02001461320985 0.92556299591799 1.09445161729186 0 PN1 T2 Tbv GN1 0.25 0
5 6000 2.54131795888041 1.1852562066396 1.35606175224081 0 PN1 T2 Tbv GN1 0.25 0
6 6000 3.28498175474932 1.5333441402036 1.75163761454572 0 PN1 T2 Tbv GN1 0.25 0
7 6000 3.72817970501071 1.73131448008834 1.99686522492237 0 PN1 T2 Tbv GN1 0.25 0
8 6000 4.17824863590858 1.82064718184058 2.357601454068 0 PN1 T2 Tbv GN1 0.25 0
9 6000 4.63621487191507 2.08829921492346 2.54791565699162 0 PN1 T2 Tbv GN1 0.25 0
10 6000 4.92928074784287 2.26545540678298 2.66382534105989 0 PN1 T2 Tbv GN1 0.25 0
11 6000 5.2390876043777 2.34203333264466 2.89705427173304 0 PN1 T2 Tbv GN1 0.25 0
12 6000 5.69866900814511 2.50739670277206 3.19127230537305 0 PN1 T2 Tbv GN1 0.25 0
13 6000 6.28590563021614 2.72239034984558 3.56351528037056 0 PN1 T2 Tbv GN1 0.25 0
14 6000 6.72948035149977 2.91164811440734 3.81783223709243 0 PN1 T2 Tbv GN1 0.25 0
15 6000 6.97308474485634 3.05709912041325 3.9159856244431 0 PN1 T2 Tbv GN1 0.25 0
16 6000 7.32805710308694 3.16278294127221 4.16527416181472 0 PN1 T2 Tbv GN1 0.25 0
17 6000 7.67073220900333 3.27583822655474 4.39489398244858 0 PN1 T2 Tbv GN1 0.25 0
18 6000 7.9321090676883 3.40520616977678 4.52690289791151 0 PN1 T2 Tbv GN1 0.25 0
19 6000 8.3816097977985 3.57315818352161 4.80845161427688 0 PN1 T2 Tbv GN1 0.25 0
20 6000 8.81332532700642 3.73351987736925 5.07980544963717 0 PN1 T2 Tbv GN1 0.25 0
0 5000 -0.000162092936425515 0 0 -0.000162092936425515 PN1 T2 Ebv PN1 0.25 0
0 5000 -0.0296252961470219 0 0 -0.0296252961470219 PN1 T2 Tbv PN1 0.25 0
0 525 0.00212400567357905 -0.058630901577869 0.060754907251448 0 PN1 I Ebv GN1 0.25 0
1 6000 0.606948743217338 -0.0197328482411394 0.626681591458477 0 PN1 I Ebv GN1 0.25 0
2 6000 2.91165548834316 0.800151716316375 2.11150377202678 0 PN1 I Ebv GN1 0.25 0
3 6000 5.03427397085729 1.84082103224561 3.19345293861168 0 PN1 I Ebv GN1 0.25 0
4 6000 7.14780268862924 2.6080386418279 4.53976404680134 0 PN1 I Ebv GN1 0.25 0
5 6000 9.28497309504593 3.35644650558374 5.92852658946219 0 PN1 I Ebv GN1 0.25 0
6 6000 11.4037917516102 4.11537206220549 7.28841968940474 0 PN1 I Ebv GN1 0.25 0
7 6000 13.5534456645735 4.86195843668879 8.69148722788467 0 PN1 I Ebv GN1 0.25 0
8 6000 15.5616470007092 5.58049135008876 9.98115565062043 0 PN1 I Ebv GN1 0.25 0
9 6000 17.6311371701196 6.44308578064135 11.1880513894783 0 PN1 I Ebv GN1 0.25 0
10 6000 19.5654136285804 7.33009112241428 12.2353225061661 0 PN1 I Ebv GN1 0.25 0
11 6000 21.4715374123053 8.11878890510753 13.3527485071977 0 PN1 I Ebv GN1 0.25 0
12 6000 23.4120330904292 8.81302288153009 14.5990102088991 0 PN1 I Ebv GN1 0.25 0
13 6000 25.3418568827056 9.52488294481578 15.8169739378898 0 PN1 I Ebv GN1 0.25 0
14 6000 27.0895667121458 10.3153600894303 16.7742066227155 0 PN1 I Ebv GN1 0.25 0
15 6000 28.7833786537019 11.0983981275294 17.6849805261725 0 PN1 I Ebv GN1 0.25 0
16 6000 30.3481373581755 11.7351118975891 18.6130254605864 0 PN1 I Ebv GN1 0.25 0
17 6000 31.9200198068142 12.4126486953173 19.5073711114969 0 PN1 I Ebv GN1 0.25 0
18 6000 33.2616118100575 12.9823041372787 20.2793076727787 0 PN1 I Ebv GN1 0.25 0
